reference_number,gazetted_name,alias_local_name,site,location,ef,date,time_start,crew_members,length_surveyed,hab_value,priority,upstream_habitat_length_m,species_codes,waypoint,comments
82,Mission Creek,124420_ds,124420,ds,,2021-09-16,11:07,KP DN,375,high,,,,,"Has very deep undercut banks. High to moderate habitat value. Complex system with lots of small and large woody debris, pools, and deep undercuts. Multiple steep banks showing signs of erosion sluffing and fine sediment. "
83,Unnamed Tributary to Waterfall Creek,124421_us,124421,us,,2021-09-16,13:09,KP,120,moderate,moderate,1340,"CO,DV",,"Slow moving wetland type stream. Deep glides throughout with instream vegetation, overhanging vegetation, and undercut banks. Near top of survey, gradient increased slightly and substrate goes from fines/organics to small gravel. "
84,Unnamed Tributary to Waterfall Creek,124421_ds,124421,ds,,2021-09-16,13:09,DN KP,50,moderate,,,,,Defined channel that widens into small wetland complex dominated by tall grasses. High amounts of instream vegetation with muddy substrate.
85,Unnamed Tributary to Waterfall Creek,124422_us,124422,us,,2021-09-16,14:01,KP,350,moderate,low,1210,"CO,DV",,Appears to be restoration site with logs embedded in stream and gravels added. Upstream of footbridge stream flows from wetland type habitat. Low priority as 100% backwatered and likely passable for parr and adult salmon.
86,Waterfall Creek,124424_ds,124424,ds,,2021-09-16,14:03,DN,,,,,,,Water enters wetland complex dense in grasses and shrubs. Deep water and dense instream vegetation. Wetland / stream is relatively straight and runs paralell to railway.  Water is deeper than 1.5m near stream edge. 
87,Unnamed Tributary to Maxan,197909_us,197909,us,,2021-08-30,,AI KP,100,moderate,low,225,,,Small stream with beaver pond upstream.  Downstream channel confined.  
88,Owen Creek,197370_us,197370,us,,2021-09-07,,AI,1500,high,high,1870,,,Aerial survey conducted.  Wetland and glide type habitat.  Bii Wenii C'eek historic fishing site located near confluence of this stream and Morice River. Office of Wet'suwet'en contact (Mike Risdale) reports that this stream historically carrier flows from mainstem of Owen Creek which has now been redirected to Morice River at bridge site upstream. Mesohabitat mapping conducted in this area in the fall of 2021 by Jeff Anderson.
89,McDowell Creek,123544_us,123544,us,,2021-09-15,,AI KP,25,low,low,6070,RB,,Dry at time of survey. Culvert inlet is perched aprox.  5m above channel.  Road appears to be historic pipeline or powerline.  Creates impassably steep gradients immediately downstream of crossing due to fill placement.
90,Richfield Creek,197662_us,197662,us,,2021-09-09,,,100,high,high,32780,"CH,CO,LKC,LNC,LSU,RB,ST",,Three closed multipass electrofishing sites upstream and downstream.  Habitat confirmation conducted in 2020 with results in 2021 report. Mesohabitat mapping conducted with Office of Wet'suwet'en field crew and Jeff Anderson in 2021.
91,Cesford,198090_us,198090,us,,2021-09-05,,KP,,moderate,high,11700,RB,,No connection to Bulkley River under railway found and landowner reports there is not one present.  Large ditch runs north-south and may be impacting water level in oxbow type habitat comprising lower end of stream.  Primarily dry to just before Highway 16.   Important migration corridor.  Coho would likely be present upstream if connected to the Bulkley River. 
