reference_number,gazetted_names,local_name,waterbody_id,reach_number,site_number,channel_width_m,channel_width_m_2,channel_width_m_3,channel_width_m_4,channel_width_m_5,channel_width_m_6,channel_width_m_7,avg_channel_width_m,method_for_channel_width,wetted_width_m,wetted_width_m_2,wetted_width_m_3,wetted_width_m_4,wetted_width_m_5,wetted_width_m_6,wetted_width_m_7,avg_wetted_width_m,method_for_wetted_width,residual_pool_depth_m,residual_pool_depth_m_2,residual_pool_depth_m_3,residual_pool_depth_m_4,residual_pool_depth_m_5,residual_pool_depth_m_6,residual_pool_depth_m_7,average_residual_pool_depth_m,method_for_residual_pool_depth,bankfull_depth_number_1_m,bankfull_depth_number_2_m,bankfull_depth_number_3_m,bankfull_depth_number_4_m,average_bankfull_depth_m,method_for_bankfull_depth,gradient_number_1_percent,gradient_number_2_percent,gradient,gradient_number_4_percent,average_gradient_percent,method_for_gradient,stage,tributaries,temperature_c,method_for_temperature,conductivity_m_s_cm,method_for_conductivity,p_h,method_for_p_h,turbidity,total_cover,small_woody_debris,large_woody_debris,boulders,undercut_banks,deep_pools,overhanging_vegetation,instream_vegetation,crown_closure,functional_lwd,lwd_distribution,instream_vegetation_type,l_bank_shape,l_bank_texture_dominant_1,l_bank_texture_dominant_2,l_bank_riparian_vegetation,l_bank_riparian_vegetation_stage,r_bank_shape,r_bank_texture_dominant_1,r_bank_texture_dominant_2,r_bank_riparian_vegetation,r_bank_riparian_vegetation_stage,bed_material_dominant,bed_material_subdominant,d95_cm,d_cm,morphology,channel_pattern,coupling,confinement,feature_type,feature_height_m,feature_length_m,feature_height_length_method,utm_zone,utm_easting,utm_northing,utm_method,comments
14,Cesford Creek,198049_us,00000BULK,0,14,3.7,5.8,4.7,4,5.7,5.2,6.1,5.028571428571428,,2.5,3.7,2.8,3.3,2.8,2.4,1.8,2.7571428571428567,metre tape,0.3,0.6,0.5,0.5,0.4,,,0.46,,0.45,0.3,0.32,,0.3566666666666667,,3,2,1.5,2,0.02125,,low,,11,recording meter,321,,7.99,,Clear,moderate,,,,,,,,21-40%,few,evenly distributed,,undercut,cobbles,,mixed forest,mature forest,sloping,cobbles,,mixed forest,mature forest,cobbles,boulders,,,,sinuous,Decoupled,occasionally confined,LWD Jam,1,1,metre stick,9,674929,6043838,gps,Medium value habitat. Good flow and decent level of complexity due to mature cottonwood riparian / large woody debris. Occossional pool and frequent gravel sections.
15,Cesford Creek,198049_us2,00000BULK,0,15,4.8,5.3,3.4,3.6,,,,4.275,,0.97,2.1,1.7,2.8,,,,1.8925,metre tape,0.2,0.75,,,,,,0.475,,0.15,0.3,0.2,,0.21666666666666665,,4,5,3.5,,0.04166666666666667,,low,,11,recording meter,321,,7.99,,Clear,moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LWD Jam,1.2,6,metre stick,9,675413,6044598,gps,Lots of fish sighted in pool below debris jam. Confluence with Mcrae at 12:42.
16,Thompson Creek,123377_ds,00000BULK,0,16,4.1,3.37,5,4.2,5,4.4,,4.345,,2.2,2.4,3.6,2.3,3.7,2.1,,2.716666666666667,metre tape,0.22,0.3,0.45,0.3,0.3,0.4,0.45,0.3457142857142857,,0.2,0.2,0.3,0.3,0.25,,3,2,4,2.5,0.02875,,low,,13,recording meter,294,,8.22,,Clear,abundant,sub-dominant,sub-dominant,trace,sub-dominant,dominant,sub-dominant,trace,,few,evenly distributed,,undercut,gravels,,grass,shrub,sloping,cobbles,,mixed forest,mature forest,cobbles,gravels,67,19,,irregular meanders,Decoupled,unconfined,LWD Jam,1.2,5.1,metre stick,9,641563,6049444,gps,"Fantastic creek with abundant habitat conistent grassy banks throughout, especially at beginning half of survey. Transitioned to mixed but initially was mature deciduous / shrub with grasses. Abundant deep pools throughout, lots of undercut banks, and periodic small and large woody debris jams and overhanging vegetation. All jams had free flowing water below but were across the channel and approximately 1 - 1.3 m tall. Latter half of survey had more fines deposited especially in several deep pools. Countless fish sighted throughout, especially in pools. Riparean vegetation in great shape, 1 site of significant bank erosion, 1 small walking trail bridge and 1 water intake site (appears to be for a cabin). Overall complex habitat, great water levels and abundant fish"
17,Thompson Creek,123377_us,00000BULK,0,17,5.6,4.1,5.1,4.6,4.5,,,4.78,,3.1,2.2,4.3,3.7,3.8,,,3.4200000000000004,metre tape,0.45,0.65,0.6,0.7,0.85,,,0.6500000000000001,,0.4,,,,0.4,,2.5,2.5,3,,0.026666666666666665,,low,,13,recording meter,294,,8.22,,Clear,abundant,sub-dominant,sub-dominant,trace,sub-dominant,dominant,sub-dominant,none,,few,evenly distributed,,undercut,gravels,,deciduous forest,mature forest,sloping,fines,,shrubs,shrub,gravels,cobbles,,9,,sinuous,Decoupled,occasionally confined,,,,,,,,,"High  value habitat, frequent deep pools to 80cm and abundant large woody debris and gravels. Narrow but meaningful cottonwoood dominated riparian area. Majority of flow comes from side channel below open bottom structure under highway. Channel hard to locate upstream of confluence with reed canary grass and willow dominated vegetation."
18,Thompson Creek,123375_us,00000BULK,0,18,1.7,2,1.5,,,,,1.7333333333333334,,1,4,0.8,,,,,1.9333333333333331,metre tape,,,,,,,,,,,,,,,,1,0.5,,,0.007499999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"~100 m survey. Hevaily impacted bu cattle. Fine substrates, low flow, very small stream."
19,Thompson Creek,123375_ds,00000BULK,0,19,3.2,3.2,2.1,,,,,2.833333333333333,,1.7,1.1,1.6,,,,,1.4666666666666668,metre tape,,,,,,,,,,0.1,0.15,,,0.125,,1.5,1.5,1.5,,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Slow moving, very brushed in with grass, shrubs, and young deciduous. Substrate predominantly fines and full of small and large woody debris. Slope is estimated at <2%"
20,Unnamed Tributary to Owen Creek,197378_ds,00000MORR,0,20,2.8,2.8,2.2,2.2,2.5,2.1,,2.4333333333333327,,2.3,2.8,1.3,1.8,1.9,1.4,,1.9166666666666667,metre tape,0.15,0.3,0.15,,,,,0.2,,0.2,0.2,0.2,0.3,0.22500000000000003,,3,2,2.5,,0.025,,low,,11,recording meter,84,,7.57,,,abundant,sub-dominant,trace,trace,sub-dominant,trace,dominant,trace,41-70%,few,evenly distributed,,undercut,fines,,shrubs,shrub,sloping,gravels,,coniferous forest,mature forest,gravels,fines,85,0.15,,irregular meanders,Decoupled,occasionally confined,,,,,,,,,"Crown closure, high with riparian shrubs but thin forest further on the upland. Nice small stream, low gradient throughout, abundant overhanging vegetation cover all along and deeply cut undercut banks throughout. Plenty of gravels with fines as substrate. Moderate to high value habitat. Appears to have stable flows with no erosion. Forest canopy cover is thin overtop of stream but nice conifer forest ~20 m upland."
21,Unnamed Tributary to Owen Creek,197378_us,00000MORR,0,21,1.3,1.9,1.4,1.8,2.4,2.1,,1.8166666666666664,,1.3,1.6,1.4,1.2,2,1.7,,1.5333333333333334,metre tape,,,,,,,,,,0.55,0.37,0.35,,0.4233333333333333,,1.5,3.5,4,,0.03,,low,,11,recording meter,84,,7.57,,,abundant,sub-dominant,sub-dominant,none,dominant,trace,sub-dominant,sub-dominant,21-40%,abundant,evenly distributed,algae,undercut,fines,,coniferous forest,mature forest,overhanging bank,fines,,wetland,not applicable,gravels,fines,,4,,,Decoupled,occasionally confined,beaver dam,1.2,3,metre stick,9,644593,5998937,gps,Fish presence upstream. Nice runs. Several pockets of gravel suitable for resident rainbow spawning. Good flow
22,Unnamed Tributary to Owen Creek,197379_us,00000MORR,0,22,4.2,7.599999999999999,7.1,9.5,5.4,4.8,,6.433333333333333,,3.2,3,3.9,2.9,2.9,2.9,,3.1333333333333333,metre tape,1.5,0.45,0.55,0.45,0.55,,,0.7,,0.3,0.4,0.4,,0.3666666666666667,,7,5,3,4,0.0475,,moderate,,12,recording meter,249,,7.94,,,moderate,sub-dominant,sub-dominant,trace,dominant,sub-dominant,sub-dominant,trace,1-20%,few,evenly distributed,,undercut,cobbles,,shrubs,shrub,sloping,gravels,,mixed forest,mature forest,cobbles,gravels,110,16,,irregular wandering,Partially Coupled,frequently confined,falls,8,3.5,metre stick,9,641542,6006411,gps,"Initiall steep below falls, cascading with pools. Bedrock dominated substrate. Further downstream gratient is ~ 4. Lots of undercut banks with some pools. Healthy riparian vegetation providing cover. Functional debris habitat. Overall very nice stream, good flows, plentiful habitat. Large woody debris jam was big but had water running under."
23,Unnamed Tributary to Owen Creek,197379_ds,00000MORR,0,23,3.9,4.8,4.3,,,,,4.333333333333333,,2.4,1.9,3.4,,,,,2.5666666666666664,metre tape,0.35,0.35,,,,,,0.35,,0.4,0.5,,,0.45,,4,3,3,,0.03333333333333333,,low,,12,recording meter,249,,7.94,,,moderate,sub-dominant,trace,trace,sub-dominant,trace,dominant,trace,41-70%,few,evenly distributed,,undercut,cobbles,,shrubs,shrub,sloping,gravels,,mixed forest,mature forest,cobbles,gravels,,21,,irregular wandering,Decoupled,occasionally confined,,,,,,,,,Stream had signs of high flow based on eroded steep sided banks. However still a nice mix of habitat available including periodic undercut banks and lots of overhanging vegetation. Gradient reletively stable at 4 degrees although there were some woody debris jams which could impede travel on some flows. One fish sighted in outlet pool.
24,Unnamed Tributary to Lamprey,198064_us,00000MORR,0,24,2.8,2.3,3.7,3.1,2.3,2.5,3,2.814285714285714,,2.8,1.4,1.6,0.8,2,2,2.8,1.914285714285714,metre tape,,,,,,,,,,0.35,0.25,0.2,,0.26666666666666666,,5,3.5,4,,0.04166666666666667,,low,,9,recording meter,357,,8.179999999999998,,Clear,moderate,sub-dominant,sub-dominant,none,dominant,none,sub-dominant,,41-70%,few,evenly distributed,algae,undercut,fines,,mixed forest,mature forest,sloping,gravels,,mixed forest,mature forest,gravels,cobbles,90,9,,sinuous,Partially Coupled,occasionally confined,,,,,,,,,Medium value habitat. Good flow for the watershed. Surveyors indicated this is the only stream that has water in it at this time. Abundant gravel for coho at higher flows. Abundant undercut banks for cover however pods with depth of 20cm.
25,Unnamed Tributary to Lamprey,198064_ds,00000MORR,0,25,2.8,2.36,2.1,,,,,2.42,,1.7,1.4,1.2,,,,,1.4333333333333331,metre tape,0.25,0.2,,,,,,0.225,,0.2,0.25,0.2,,0.21666666666666667,,3.5,6,4,,0.045,,low,,9,recording meter,357,,8.179999999999998,,Clear,moderate,dominant,sub-dominant,trace,sub-dominant,trace,sub-dominant,trace,41-70%,few,evenly distributed,algae,undercut,gravels,,shrubs,shrub,sloping,cobbles,,coniferous forest,mature forest,cobbles,gravels,65,13,,irregular meanders,Decoupled,occasionally confined,,,,,,,,,Nice small stream. Moderate amounts of habitat in form of debris or vegetation. Some nice undercut banks but no really deep pools. One section approximately 80 m upstream from confluence has a steep drop into Lamprey creek. Water flow beneath substrate ~5 m from creek.
26,McBride Creek,198000_ds,00000MORR,0,26,7.1,4.1,3.45,11.2,5.4,,,6.25,,5.7,3.4,2.8,8.699999999999998,5,,,5.119999999999999,metre tape,,,,,,,,,,0.3,,,,0.3,,1.5,1,,,0.0125,,low,,12,recording meter,366,,7.3,,,moderate,sub-dominant,sub-dominant,trace,trace,trace,sub-dominant,dominant,1-20%,few,evenly distributed,mosses,sloping,gravels,,shrubs,shrub,sloping,fines,,coniferous forest,mature forest,gravels,cobbles,,8,,sinuous,Decoupled,unconfined,,,,,,,,,"Small tributary. Stream channels vary throughout survey. Very wide upstream with 50 - 60 cm depths, then narrows to a riffle and repeats significant instream vegetation throughout survey area. Substrate is large gravel and small cobble. Overall low gradient, with very slow flow. Channel was measured from abrupt bank to sedge, however at times water can be higher."
27,McBride Creek,198000_us,00000MORR,0,27,5.8,5.15,,,,,,5.475,,4.3,4.5,,,,,,4.4,metre tape,,,,,,,,,,0.4,,,,0.4,,1,,,,0.01,,low,,12,recording meter,366,,7.3,,,moderate,sub-dominant,dominant,trace,trace,trace,sub-dominant,sub-dominant,1-20%,few,evenly distributed,mosses,sloping,fines,,shrubs,shrub,sloping,gravels,,coniferous forest,mature forest,gravels,fines,,,,sinuous,Decoupled,unconfined,,,,,,,,,High quality habitat lots of instream vegetation including vascular plants. Chanel quite large with grass and sedge on shoulders. Huge large woody debris pile at outflow of McBride Lake (looks like only log boom structure)
28,Unnamed Tributary to Nanika,198008_us,00000MORR,0,28,2,1.7,2.9,1.1,1.3,2,3.3,2.042857142857143,,0.8,0.7,,0.8,0.8,1,1.1,0.8666666666666667,metre tape,0.3,0.2,,,,,,0.25,,0.45,0.35,,,0.4,,5.5,10,7,,0.07499999999999998,,low,,8,recording meter,177,,8.199999999999998,,Clear,,sub-dominant,sub-dominant,none,dominant,none,sub-dominant,,>90%,few,evenly distributed,,undercut,fines,,coniferous forest,mature forest,sloping,fines,,coniferous forest,mature forest,gravels,cobbles,,,,,,,LWD Jam,1.85,1,metre stick,9,606102,5986064,gps,Multiple channels. May have surveyed non-dominant channel (likely). Bottom 100m is low gradient gravels with good slow for time of year. Dolly Varden known upstream channel cannont confirm habitat upstream of 100m but likely close to mapped gradients with no lakes upstream indicating stream is passable to Dolly Varden.
29,Unnamed Tributary to Nanika,198008_ds,00000MORR,0,29,2.3,2.4,2.3,2.9,1.9,2.1,,2.3166666666666664,,0.8,1.9,1.8,1.4,0.7,0.9,,1.2500000000000002,metre tape,0.15,0.2,0.3,,,,,0.21666666666666665,,0.2,0.3,0.3,,0.26666666666666666,,6.5,3,6,,0.051666666666666666,,low,,9,recording meter,258,,7.849999999999999,,Clear,abundant,sub-dominant,sub-dominant,trace,sub-dominant,,dominant,trace,>90%,few,evenly distributed,mosses,undercut,gravels,,shrubs,shrub,sloping,fines,,coniferous forest,mature forest,gravels,fines,,12,,irregular meanders,Decoupled,unconfined,LWD Jam,0.7,3,metre stick,9,606333,5986962,gps,"Small stream with low consistent flows, shallow pools but rarely over 20cm. Some undercut banks but overhanging vegetation dominant habitat. Gravels throughout with fines near the bottom half and more cobbles near the top. Steeper in the top half and mellowing out later on. A few functional large woody debris created drops (largest observed is 0.6m). Overall moderate habitat which might be challenging travel for bigger fish in current flows."
36,Peacock Creek,197962_ds,00000MORR,0,36,8,11,6.5,3.9,8.9,10.3,,8.099999999999998,,2.1,5.5,4.6,3.1,5.7,4.2,,4.2,metre tape,0.4,0.3,0.4,0.35,0.45,0.35,,0.375,,0.35,0.2,0.3,0.4,0.3125,,3,3,2,2.5,0.02625,,low,,8,recording meter,222,,8.17,,Clear,moderate,sub-dominant,sub-dominant,sub-dominant,dominant,sub-dominant,sub-dominant,trace,1-20%,few,clumped,,undercut,cobbles,,deciduous forest,mature forest,sloping,gravels,,mixed forest,mature forest,cobbles,boulders,75,23,,sinuous,Decoupled,unconfined,LWD Jam,1.1,3.5,metre stick,9,643099,6026093,gps,Significant large woody debris jam is likely not an issue due to diverted channel and only being a feature of note in high flow. Great creek with variety of habitat consistently encountered on survey. Difficult to choose dominant type as they are evenly spread. A few spots banks were vertical (outside bend) but not enough to be labelled that way on field card. Large and small woody debris less frequent than upstream and once again appears somewhat clumped. Multiple areas of side channels and small braided sections and a few areas of steep piles of cobbles / gravels moved in high flows. Signs of high flows significantly moving substrate and debris but not enough to be a disturbance indicator. Overall moderate to high value habitat. Substrate mainly large cobble and small boulder. Lots of nice straight runs with substrate habitat. Consistent undercut banks with small and large woody debris and overhanigng vegetation providing cover.
37,Peacock Creek,197962_us,00000MORR,0,37,6.9,7.5,7.42,6.3,6.9,6.3,,6.886666666666667,,3.1,3,4.3,2.6,4.8,3.7,,3.5833333333333326,metre tape,0.45,0.35,0.45,0.5,0.3,0.35,,0.4,,0.4,0.5,0.4,5,1.575,,3,4,2,2,0.0275,,low,,8,recording meter,222,,8.17,,Clear,moderate,sub-dominant,sub-dominant,dominant,sub-dominant,sub-dominant,trace,trace,21-40%,few,clumped,mosses,undercut,cobbles,,mixed forest,mature forest,sloping,boulders,,mixed forest,mature forest,cobbles,boulders,70,23,,sinuous,Decoupled,unconfined,LWD Jam,0.9,6,metre stick,9,643693,6025735,gps,"Large woody debris feature (0.9m) was across entire wetted width. Very functional but may be challenging in low water for upstream access. Great stream complex with all types of habitat throughout and consistent. Tough choise fro dominant however, boulders with straight runs of short riffles occur consistently on survey area. There are also consistent undercut banks, large and small woody debris and some nice pools. A few fish encountered on survey. Signs of high powerful flows, including clumped large woody debris, still functional but can be piled up in a few areas. Large channel and several side channels. One side channel area has large woody debris pile at the top end and main flow appears recently diverted into pile and over newer area. Gradient stays consistent with a few riffles / small cascades around 5. Selected decoupled however, some areas had steep sided banks and landscape. Algae present but not often and not in huge quantities."
